"ID_relationship";"source_concept";"target_concept"
64;"Social unrest";"Sense of belonging"
65;"Promotion of local economy";"Social unrest"
66;"Promotion of local economy";"Sense of belonging"
67;"Mycological use";"Tourism"
68;"Mycological use";"Mycological overuse"
69;"Mycological use";"Economic benefit"
70;"Mycological use";"Social profitability & sustainability"
71;"Mycological use";"Recreation"
72;"Mycological use";"Environmental education"
73;"Mycological use";"Ecosystem services intensity"
74;"Tourism";"Mycological use"
75;"Tourism";"Economic benefit"
76;"Tourism";"Social profitability & sustainability"
77;"Tourism";"Ecosystem services intensity"
78;"Native forest recruitment & regeneration";"Native forest recruitment & regeneration"
79;"Native forest recruitment & regeneration";"Landscape & Tourism attraction"
80;"Native forest recruitment & regeneration";"Thinning"
81;"Native forest recruitment & regeneration";"Provisioning ecosystem services"
82;"Native forest recruitment & regeneration";"Resilience"
83;"Native forest recruitment & regeneration";"Biodiversity"
84;"Native forest recruitment & regeneration";"Ecosystem services"
85;"Native forest recruitment & regeneration";"Structural diversity"
86;"Native forest recruitment & regeneration";"Functional diversity"
87;"Native forest recruitment & regeneration";"Pastures & Shrubs & others as food sources"
88;"Native forest recruitment & regeneration";"Vegetation biodiversity"
89;"Biomass & Wood & Firewood use";"Fires incidence"
90;"Biomass & Wood & Firewood use";"Fires risk"
91;"Biomass & Wood & Firewood use";"Economic benefit"
92;"Biomass & Wood & Firewood use";"Stand density"
93;"Biomass & Wood & Firewood use";"Social profitability & sustainability"
94;"Biomass & Wood & Firewood use";"Fires propagation"
95;"Biomass & Wood & Firewood use";"Herbivores overuse"
96;"Biomass & Wood & Firewood use";"Employment"
97;"Mycological overuse";"Social unrest"
98;"Mycological overuse";"Economic benefit"
99;"Thinning";"Fires incidence"
100;"Thinning";"Fires risk"
101;"Thinning";"Biomass & Wood & Firewood use"
102;"Thinning";"Social unrest"
103;"Thinning";"Economic benefit"
104;"Thinning";"Stand density"
105;"Thinning";"Vulnerability against perturbations"
106;"Thinning";"Pines recruitment & regeneration"
107;"Thinning";"Pines growth"
108;"Thinning";"Vigour"
109;"Thinning";"Intraspecific competition"
110;"Thinning";"Costs"
111;"Thinning";"Fires propagation"
112;"Thinning";"Structural diversity"
113;"Thinning";"Functional diversity"
114;"Thinning";"Soil protection against erosion"
115;"Thinning";"Interspecific competition"
116;"Thinning";"Decay"
117;"Thinning";"Fuel quantity & quality"
118;"Thinning";"Main species substitution"
119;"Thinning";"Employment"
120;"Thinning";"Prunings and cuttings remains"
121;"Thinning";"Stand surface"
122;"Thinning";"Resistance"
123;"Thinning";"Successional stage"
124;"Thinning";"Temperature"
125;"Thinning";"Precipitation"
126;"Thinning intensity";"Stand density"
127;"Thinning intensity";"Vulnerability against perturbations"
128;"Thinning intensity";"Biodiversity"
129;"Thinning intensity";"Ecosystem services"
130;"Thinning intensity";"Pests & diseases incidence"
131;"Thinning intensity";"Functional diversity"
132;"Thinning intensity";"Underlying vegetation abundance & development degree"
133;"Thinning intensity";"Soil protection against erosion"
134;"Thinning intensity";"Extensive livestock use"
135;"Thinning intensity";"Decay"
136;"Thinning intensity";"Stagnation"
137;"Thinning intensity";"Fuel quantity & quality"
138;"Thinning intensity";"Stand surface"
139;"Structural diversity";"Fires risk"
140;"Structural diversity";"Landscape & Tourism attraction"
141;"Structural diversity";"Vulnerability against perturbations"
142;"Structural diversity";"Pines recruitment & regeneration"
143;"Structural diversity";"Resilience"
144;"Structural diversity";"Biodiversity"
145;"Structural diversity";"Fires propagation"
146;"Structural diversity";"Ecosystem services"
147;"Structural diversity";"Structural diversity"
148;"Structural diversity";"Functional diversity"
149;"Structural diversity";"Main species substitution"
150;"Structural diversity";"Resistance"
151;"Structural diversity";"Ecosystem health"
152;"Pines growth";"Stand density"
153;"Pines growth";"Vulnerability against perturbations"
154;"Pines growth";"Wood quantity & quality"
155;"Pines growth";"Stand weakening"
156;"Site class & Climatic fitness";"Biomass & Wood & Firewood use"
157;"Site class & Climatic fitness";"Pines growth"
158;"Site class & Climatic fitness";"Stand weakening"
159;"Site class & Climatic fitness";"Vigour"
160;"Site class & Climatic fitness";"Pests & diseases incidence"
161;"Site class & Climatic fitness";"Interspecific competition"
162;"Site class & Climatic fitness";"Pines mortality"
163;"Site class & Climatic fitness";"Shrubland encroachment"
164;"Biodiversity";"Fires risk"
165;"Biodiversity";"Economic benefit"
166;"Biodiversity";"Landscape & Tourism attraction"
167;"Biodiversity";"Vulnerability against perturbations"
168;"Biodiversity";"Resilience"
169;"Biodiversity";"Biomass & Wood & Firewood use profitability"
170;"Biodiversity";"Social profitability & sustainability"
171;"Biodiversity";"Biodiversity"
172;"Biodiversity";"Ecosystem services"
173;"Biodiversity";"Structural diversity"
174;"Biodiversity";"Pests & diseases incidence"
175;"Biodiversity";"Functional diversity"
176;"Biodiversity";"Game abundance"
177;"Biodiversity";"Soil protection against erosion"
178;"Biodiversity";"Recreation"
179;"Biodiversity";"Decay"
180;"Biodiversity";"Soil formation"
181;"Biodiversity";"Carbon sequestration"
182;"Biodiversity";"Ecological function"
183;"Biodiversity";"Resistance"
184;"Biodiversity";"Ecosystem health"
185;"Biodiversity";"Carbon sequestration in long term"
186;"Intraspecific competition";"Vulnerability against perturbations"
187;"Intraspecific competition";"Pines growth"
188;"Intraspecific competition";"Stand weakening"
189;"Intraspecific competition";"Vigour"
190;"Intraspecific competition";"Pests & diseases incidence"
191;"Vigour";"Biomass & Wood & Firewood use"
192;"Vigour";"Stand weakening"
193;"Vigour";"Biomass & Wood & Firewood use profitability"
194;"Vigour";"Pests & diseases incidence"
195;"Vigour";"Stand collapse"
196;"Vigour";"Stand stability"
197;"Shrubland planting";"Native forest recruitment & regeneration"
198;"Shrubland planting";"Stand density"
199;"Shrubland planting";"Pines recruitment & regeneration"
200;"Shrubland planting";"Intraspecific competition"
201;"Shrubland planting";"Biodiversity"
202;"Shrubland planting";"Fires propagation"
203;"Shrubland planting";"Structural diversity"
204;"Shrubland planting";"Functional diversity"
205;"Shrubland planting";"Soil protection against erosion"
206;"Shrubland planting";"Employment"
207;"Shrubland planting";"Soil formation"
208;"Shrubland planting";"Carbon sequestration"
209;"Quercus planting";"Native forest recruitment & regeneration"
210;"Quercus planting";"Stand density"
211;"Quercus planting";"Pines recruitment & regeneration"
212;"Quercus planting";"Intraspecific competition"
213;"Quercus planting";"Biodiversity"
214;"Quercus planting";"Fires propagation"
215;"Quercus planting";"Structural diversity"
216;"Quercus planting";"Functional diversity"
217;"Quercus planting";"Employment"
218;"Quercus planting";"Soil formation"
219;"Quercus planting";"Carbon sequestration"
220;"Time limitation for wood and biomass use";"Biomass & Wood & Firewood use profitability"
221;"Vegetation biodiversity";"Native forest recruitment & regeneration"
222;"Vegetation biodiversity";"Fires risk"
223;"Vegetation biodiversity";"Landscape & Tourism attraction"
224;"Vegetation biodiversity";"Stand density"
225;"Vegetation biodiversity";"Vulnerability against perturbations"
226;"Vegetation biodiversity";"Pines recruitment & regeneration"
227;"Vegetation biodiversity";"Provisioning ecosystem services"
228;"Vegetation biodiversity";"Biodiversity"
229;"Vegetation biodiversity";"Fires propagation"
230;"Vegetation biodiversity";"Pests & diseases incidence"
231;"Vegetation biodiversity";"Pastures & Shrubs & others as food sources"
232;"Vegetation biodiversity";"Soil quality"
233;"Vegetation biodiversity";"Fauna biodiversity"
234;"Vegetation biodiversity";"Vegetation biodiversity"
235;"Vegetation biodiversity";"Pests & diseases expansion"
236;"Vegetation biodiversity";"Fuel quantity & quality"
237;"Vegetation biodiversity";"Pests & diseases abundance"
238;"Vegetation biodiversity";"Pines water requirement"
239;"Vegetation biodiversity";"Social & cultural & economic mountain range valuation"
240;"Slope";"Biomass & Wood & Firewood use profitability"
241;"Slope";"Soil protection against erosion"
242;"Slope";"Accesibility"
243;"Biomass & Wood & Firewood use profitability";"Biomass & Wood & Firewood use"
244;"Biomass & Wood & Firewood use profitability";"Thinning"
245;"Biomass & Wood & Firewood use profitability";"Public & Private investment"
246;"Biomass & Wood & Firewood use promotion";"Biomass & Wood & Firewood use"
247;"Biomass & Wood & Firewood use promotion";"Economic benefit"
248;"Biomass & Wood & Firewood use promotion";"Thinning"
249;"Extensive livestock use";"Social profitability & sustainability"
250;"Extensive livestock use";"Fires propagation"
251;"Extensive livestock use";"Herbivores overuse"
252;"Extensive livestock use";"Shrubland encroachment"
253;"Temperature";"Fires risk"
254;"Temperature";"Stand density"
255;"Temperature";"Vulnerability against perturbations"
256;"Temperature";"Stand weakening"
257;"Temperature";"Intraspecific competition"
258;"Temperature";"Biodiversity"
259;"Temperature";"Pests & diseases incidence"
260;"Temperature";"Interspecific competition"
261;"Temperature";"Fires intensity"
262;"Temperature";"Soil quality"
263;"Temperature";"Site class & Climatic fitness"
264;"Temperature";"Pines mortality"
265;"Temperature";"Decay"
266;"Temperature";"Adapting use regulation to climate change"
267;"Temperature";"Pests & diseases expansion"
268;"Temperature";"Main species substitution"
269;"Temperature";"Stand collapse"
270;"Temperature";"Actual evapotranspiration"
271;"Temperature";"Burned surface"
272;"Temperature";"Stand stability"
273;"Precipitation";"Native forest recruitment & regeneration"
274;"Precipitation";"Stand density"
275;"Precipitation";"Vulnerability against perturbations"
276;"Precipitation";"Pines recruitment & regeneration"
277;"Precipitation";"Stand weakening"
278;"Precipitation";"Intraspecific competition"
279;"Precipitation";"Biodiversity"
280;"Precipitation";"Pests & diseases incidence"
281;"Precipitation";"Interspecific competition"
282;"Precipitation";"Shrubland growth & regeneration"
283;"Precipitation";"Soil quality"
284;"Precipitation";"Site class & Climatic fitness"
285;"Precipitation";"Pines mortality"
286;"Precipitation";"Decay"
287;"Precipitation";"Intervention possibility"
288;"Precipitation";"Stand collapse"
289;"Precipitation";"Water availability"
290;"Precipitation";"Stand stability"
291;"Stand weakening";"Vulnerability against perturbations"
292;"Stand weakening";"Pests & diseases incidence"
293;"Stand weakening";"Pines mortality"
294;"Stand weakening";"Stand collapse"
295;"Deer population control hunting";"Herbivores overuse"
296;"Pests & diseases incidence";"Social unrest"
297;"Pests & diseases incidence";"Stand density"
298;"Pests & diseases incidence";"Stand weakening"
299;"Pests & diseases incidence";"Pines mortality"
300;"Pests & diseases incidence";"Safety"
301;"Pests & diseases incidence";"Stand collapse"
302;"Public & Private investment";"Economic benefit"
303;"Public & Private investment";"Landscape & Tourism attraction"
304;"Public & Private investment";"Thinning"
305;"Public & Private investment";"Biodiversity"
306;"Public & Private investment";"Ecosystem services"
307;"Public & Private investment";"Quercus planting"
308;"Public & Private investment";"Shrubland planting"
309;"Public & Private investment";"Coppice with standards & Pruning"
310;"Public & Private investment";"Vegetation biodiversity"
311;"Public & Private investment";"Employment"
312;"Public & Private investment";"Water availability"
313;"Public & Private investment";"Local knowledge"
314;"Public & Private investment";"Pests & diseases abundance"
315;"Public & Private investment";"Advertising"
316;"Public & Private investment";"Signposting & posters"
317;"Public & Private investment";"Brush-cutting"
318;"Public & Private investment";"Group or block treatments"
319;"Public & Private investment";"Application of progressive socio-forestry policy"
320;"Public & Private investment";"Pines planting"
321;"Scientific activity & knowledge";"Thinning"
322;"Scientific activity & knowledge";"Quercus planting"
323;"Scientific activity & knowledge";"Shrubland planting"
324;"Scientific activity & knowledge";"Coppice with standards & Pruning"
325;"Scientific activity & knowledge";"Application of progressive socio-forestry policy"
326;"Herbivores overuse";"Native forest recruitment & regeneration"
327;"Herbivores overuse";"Pines recruitment & regeneration"
328;"Herbivores overuse";"Stand weakening"
329;"Herbivores overuse";"Intraspecific competition"
330;"Herbivores overuse";"Biodiversity"
331;"Herbivores overuse";"Fires propagation"
332;"Herbivores overuse";"Structural diversity"
333;"Herbivores overuse";"Functional diversity"
334;"Herbivores overuse";"Soil protection against erosion"
335;"Other actions";"Stand density"
336;"Other actions";"Resilience"
337;"Other actions";"Biodiversity"
338;"Other actions";"Fires propagation"
339;"Other actions";"Structural diversity"
340;"Other actions";"Herbivores overuse"
341;"Other actions";"Pests & diseases incidence"
342;"Other actions";"Soil protection against erosion"
343;"Other actions";"Shrubland growth & regeneration"
344;"Other actions";"Fires intensity"
345;"Coppice with standards & Pruning";"Native forest recruitment & regeneration"
346;"Coppice with standards & Pruning";"Fires risk"
347;"Coppice with standards & Pruning";"Biomass & Wood & Firewood use"
348;"Coppice with standards & Pruning";"Stand density"
349;"Coppice with standards & Pruning";"Vulnerability against perturbations"
350;"Coppice with standards & Pruning";"Pines recruitment & regeneration"
351;"Coppice with standards & Pruning";"Pines growth"
352;"Coppice with standards & Pruning";"Intraspecific competition"
353;"Coppice with standards & Pruning";"Biodiversity"
354;"Coppice with standards & Pruning";"Fires propagation"
355;"Coppice with standards & Pruning";"Structural diversity"
356;"Coppice with standards & Pruning";"Functional diversity"
357;"Coppice with standards & Pruning";"Soil protection against erosion"
358;"Coppice with standards & Pruning";"Decay"
359;"Coppice with standards & Pruning";"Fauna biodiversity"
360;"Coppice with standards & Pruning";"Fuel quantity & quality"
361;"Coppice with standards & Pruning";"Main species substitution"
362;"Coppice with standards & Pruning";"Employment"
363;"Coppice with standards & Pruning";"Prunings and cuttings remains"
364;"Coppice with standards & Pruning";"Stand surface"
365;"Coppice with standards & Pruning";"Resistance"
366;"Coppice with standards & Pruning";"Successional stage"
367;"Coppice with standards & Pruning";"Temperature"
368;"Coppice with standards & Pruning";"Precipitation"
369;"Underlying vegetation abundance & development degree";"Native forest recruitment & regeneration"
370;"Underlying vegetation abundance & development degree";"Social unrest"
371;"Underlying vegetation abundance & development degree";"Landscape & Tourism attraction"
372;"Underlying vegetation abundance & development degree";"Fauna biodiversity"
373;"Underlying vegetation abundance & development degree";"Aromatic plants & Melliferous use"
374;"Fauna biodiversity";"Native forest recruitment & regeneration"
375;"Fauna biodiversity";"Social unrest"
376;"Fauna biodiversity";"Pines recruitment & regeneration"
377;"Fauna biodiversity";"Underlying vegetation abundance & development degree"
378;"Fauna biodiversity";"Soil quality"
379;"Fauna biodiversity";"Vegetation biodiversity"
380;"Interspecific competition";"Native forest recruitment & regeneration"
381;"Interspecific competition";"Pines recruitment & regeneration"
382;"Interspecific competition";"Stand weakening"
383;"Interspecific competition";"Resilience"
384;"Interspecific competition";"Pests & diseases incidence"
385;"Interspecific competition";"Shrubland growth & regeneration"
386;"Interspecific competition";"Water stress"
387;"Shrubland growth & regeneration";"Resilience"
388;"Shrubland growth & regeneration";"Fires propagation"
389;"Shrubland growth & regeneration";"Soil protection against erosion"
390;"Shrubland growth & regeneration";"Stagnation"
391;"Shrubland growth & regeneration";"Fauna biodiversity"
392;"Shrubland growth & regeneration";"Vegetation biodiversity"
393;"Fires intensity";"Biomass & Wood & Firewood use"
394;"Fires intensity";"Resilience"
395;"Fires intensity";"Biodiversity"
396;"Fires intensity";"Soil protection against erosion"
397;"Fires propagation";"Soil protection against erosion"
398;"Fires propagation";"Species immigration"
399;"Group or block treatments";"Fires risk"
400;"Group or block treatments";"Biomass & Wood & Firewood use"
401;"Group or block treatments";"Stand density"
402;"Group or block treatments";"Pines recruitment & regeneration"
403;"Group or block treatments";"Biodiversity"
404;"Group or block treatments";"Fires propagation"
405;"Group or block treatments";"Structural diversity"
406;"Group or block treatments";"Pests & diseases incidence"
407;"Group or block treatments";"Soil protection against erosion"
408;"Group or block treatments";"Shrubland growth & regeneration"
409;"Group or block treatments";"Pastures & Shrubs & others as food sources"
410;"Group or block treatments";"Fires intensity"
411;"Group or block treatments";"Biomass & Wood & Firewood use promotion"
412;"Group or block treatments";"Decay"
413;"Group or block treatments";"Main species substitution"
414;"Group or block treatments";"Employment"
415;"Group or block treatments";"Resistance"
416;"Group or block treatments";"Successional stage"
417;"Group or block treatments";"Temperature"
418;"Group or block treatments";"Precipitation"
419;"Soil disturbance";"Soil protection against erosion"
420;"Soil disturbance";"Soil quality"
421;"Soil quality";"Native forest recruitment & regeneration"
422;"Soil quality";"Pines recruitment & regeneration"
423;"Soil quality";"Pines growth"
424;"Soil quality";"Stand weakening"
425;"Soil quality";"Underlying vegetation abundance & development degree"
426;"Soil quality";"Interspecific competition"
427;"Soil quality";"Shrubland growth & regeneration"
428;"Soil quality";"Vegetation biodiversity"
429;"Water stress";"Pines mortality"
430;"Participated and democratic decision-making processes";"Social unrest"
431;"Participated and democratic decision-making processes";"Social profitability & sustainability"
432;"Participated and democratic decision-making processes";"Sense of belonging"
433;"Participated and democratic decision-making processes";"Manager' link with territory"
434;"Participated and democratic decision-making processes";"Application of progressive socio-forestry policy"
435;"Participated and democratic decision-making processes";"Forest planning execution"
436;"Participated and democratic decision-making processes";"Planning & projects quality"
437;"Ecosystem services";"Social unrest"
438;"Ecosystem services";"Social profitability & sustainability"
439;"Ecosystem services";"Participated and democratic decision-making processes"
440;"Ecosystem services";"Employment"
441;"Ecosystem services";"Local knowledge"
442;"Local perception on water consumption by pines";"Social unrest"
443;"Integrated conservation policies";"Fires risk"
444;"Integrated conservation policies";"Social unrest"
445;"Integrated conservation policies";"Social profitability & sustainability"
446;"Integrated conservation policies";"Ecosystem services"
447;"Integrated conservation policies";"Participated and democratic decision-making processes"
448;"Integrated conservation policies";"Conservation pressure"
449;"Integrated conservation policies";"Mountain agriculture use"
450;"Integrated conservation policies";"Extensive livestock use"
451;"Conservation pressure";"Fires risk"
452;"Conservation pressure";"Mycological use"
453;"Conservation pressure";"Biomass & Wood & Firewood use"
454;"Conservation pressure";"Social unrest"
455;"Conservation pressure";"Mountain agriculture use"
456;"Conservation pressure";"Extensive livestock use"
457;"Conservation pressure";"Local perception on water consumption by pines"
458;"Social profitability & sustainability";"Social unrest"
459;"Social profitability & sustainability";"Sense of belonging"
460;"Social profitability & sustainability";"Social & cultural & economic mountain range valuation"
461;"Fires risk";"Social unrest"
462;"Fires risk";"Light entrance suddenness"
463;"Recreation";"Social profitability & sustainability"
464;"Recreation";"Sense of belonging"
465;"Stand surface";"Biodiversity"
466;"Stand surface";"Ecosystem services"
467;"Stand surface";"Soil protection against erosion"
468;"Stand surface";"Actual evapotranspiration"
469;"Stand surface";"Soil disturbance"
470;"Pines mortality";"Fires incidence"
471;"Pines mortality";"Social unrest"
472;"Pines mortality";"Stand density"
473;"Pines mortality";"Safety"
474;"Change in climate seasonality";"Native forest recruitment & regeneration"
475;"Change in climate seasonality";"Pines recruitment & regeneration"
476;"Change in climate seasonality";"Shrubland growth & regeneration"
477;"Change in climate seasonality";"Adapting use regulation to climate change"
478;"Adapting use regulation to climate change";"Ecosystem services"
479;"Adapting use regulation to climate change";"Conservation degree"
480;"Monetarist uses promotion";"Social unrest"
481;"Monetarist uses promotion";"Adapting use regulation to climate change"
482;"Monetarist uses promotion";"Conservation degree"
483;"Material & human resources";"Thinning"
484;"Material & human resources";"Scientific activity & knowledge"
485;"Material & human resources";"Science-management transfer & feedback"
486;"Material & human resources";"Forest planning execution"
487;"Science-management transfer & feedback";"Biodiversity"
488;"Science-management transfer & feedback";"Fires intensity"
489;"Science-management transfer & feedback";"Adapting use regulation to climate change"
490;"Species immigration";"Vegetation biodiversity"
491;"Limit visits impact";"Fauna biodiversity"
492;"Limit visits impact";"Vegetation biodiversity"
493;"Altitude";"Herbivores overuse"
494;"Altitude";"Intervention possibility"
495;"Altitude";"Shrubland encroachment"
496;"Altitude";"Precipitation decrease impact"
497;"Fuel quantity & quality";"Fires risk"
498;"Fuel quantity & quality";"Fires propagation"
499;"Fuel quantity & quality";"Fires intensity"
500;"Fuel quantity & quality";"Burned surface"
501;"Precipitation decrease impact";"Fires risk"
502;"Precipitation decrease impact";"Fires intensity"
503;"Precipitation decrease impact";"Site class & Climatic fitness"
504;"Precipitation decrease impact";"Decay"
505;"Precipitation decrease impact";"Main species substitution"
506;"Manager' link with territory";"Thinning"
507;"Manager' link with territory";"Coppice with standards & Pruning"
508;"Mechanisation possibility for wood & biomass use";"Biomass & Wood & Firewood use profitability"
509;"Local initiative on biomass & wood & firewood use";"Thinning"
510;"Local initiative on biomass & wood & firewood use";"Biomass & Wood & Firewood use profitability"
511;"Light entrance suddenness";"Native forest recruitment & regeneration"
512;"Light entrance suddenness";"Pines recruitment & regeneration"
513;"Light availability";"Native forest recruitment & regeneration"
514;"Light availability";"Interspecific competition"
515;"Light availability";"Shrubland growth & regeneration"
516;"Light availability";"Soil formation"
517;"Light availability";"Shrubland encroachment"
518;"Soil protection against erosion";"Underground runoff"
519;"Soil protection against erosion";"Water availability"
520;"Soil protection against erosion";"Carbon sequestration"
521;"Underground runoff";"Soil protection against erosion"
522;"Underground runoff";"Soil quality"
523;"Underground runoff";"Underground runoff"
524;"Underground runoff";"Rivers flow"
525;"Shrubland encroachment";"Fires risk"
526;"Shrubland encroachment";"Biodiversity"
527;"Shrubland encroachment";"Structural diversity"
528;"Shrubland encroachment";"Soil protection against erosion"
529;"Shrubland encroachment";"Extensive livestock use"
530;"Accesibility";"Mycological use"
531;"Accesibility";"Biomass & Wood & Firewood use"
532;"Accesibility";"Biomass & Wood & Firewood use profitability"
533;"Accesibility";"Hunting"
534;"Local knowledge";"Participated and democratic decision-making processes"
535;"Water availability";"Native forest recruitment & regeneration"
536;"Water availability";"Landscape & Tourism attraction"
537;"Water availability";"Pines recruitment & regeneration"
538;"Water availability";"Stand weakening"
539;"Water availability";"Fuel quantity & quality"
540;"Water availability";"Carbon sequestration"
541;"Functional diversity";"Fires risk"
542;"Functional diversity";"Biodiversity"
543;"Functional diversity";"Structural diversity"
544;"Functional diversity";"Soil protection against erosion"
545;"Functional diversity";"Recreation"
546;"Functional diversity";"Soil formation"
547;"Functional diversity";"Water availability"
548;"Functional diversity";"Carbon sequestration"
549;"Functional diversity";"Capacity to shelter fauna"
550;"Functional diversity";"Cultural services"
551;"Soil formation";"Soil protection against erosion"
552;"Soil formation";"Water availability"
553;"Soil formation";"Carbon sequestration"
554;"Hunting";"Social profitability & sustainability"
555;"Hunting";"Conflict with other uses"
556;"Hunting";"Ecosystem services intensity"
557;"Capacity to shelter fauna";"Game abundance"
558;"Pastures & Shrubs & others as food sources";"Game abundance"
559;"Pastures & Shrubs & others as food sources";"Extensive livestock use"
560;"Uses regulation & Information";"Conflict with other uses"
561;"Patch surface";"Game abundance"
562;"Landscape & Tourism attraction";"Tourism"
563;"Landscape & Tourism attraction";"Employment"
564;"Landscape & Tourism attraction";"Ecosystem services profitability"
565;"Fire extinguishing";"Employment"
566;"Brush-cutting";"Native forest recruitment & regeneration"
567;"Brush-cutting";"Fires risk"
568;"Brush-cutting";"Biomass & Wood & Firewood use"
569;"Brush-cutting";"Pines recruitment & regeneration"
570;"Brush-cutting";"Fires propagation"
571;"Brush-cutting";"Structural diversity"
572;"Brush-cutting";"Underlying vegetation abundance & development degree"
573;"Brush-cutting";"Decay"
574;"Brush-cutting";"Main species substitution"
575;"Brush-cutting";"Employment"
576;"Brush-cutting";"Resistance"
577;"Brush-cutting";"Successional stage"
578;"Brush-cutting";"Temperature"
579;"Brush-cutting";"Precipitation"
580;"Total runoff";"Underground runoff"
581;"Actual evapotranspiration";"Total runoff"
582;"Mountain agriculture use";"Fauna biodiversity"
583;"Mountain agriculture use";"Shrubland encroachment"
584;"Mountain agriculture use";"Underground runoff"
585;"Mountain agriculture use";"Water availability"
586;"Advertising";"Tourism"
587;"Pines water requirement";"Water availability"
588;"Signposting & posters";"Landscape & Tourism attraction"
589;"Sense of belonging";"Sense of belonging"
590;"Sense of belonging";"Cultural services"
591;"Sense of belonging";"Burned surface"
592;"Sense of belonging";"Social & cultural & economic mountain range valuation"
593;"Vegetation cover";"Soil protection against erosion"
594;"Vegetation cover";"Soil formation"
595;"Ecological function";"Structural diversity"
596;"Prevention and extinction infrastructures quality";"Fuel quantity & quality"
597;"Knowledge & experience & tools for management";"Thinning"
598;"Knowledge & experience & tools for management";"Prevention and extinction infrastructures quality"
599;"Knowledge & experience & tools for management";"Knowledge & experience & tools for management"
600;"Humidity";"Pests & diseases expansion"
601;"Humidity";"Burned surface"
602;"Winds";"Burned surface"
603;"Fires incidence";"Stand collapse"
604;"Fires incidence";"Successional stage"
605;"Burned surface";"Successional stage"
606;"Application of progressive socio-forestry policy";"Artificiality degree"
607;"Artificiality degree";"Biomass & Wood & Firewood use"
608;"Artificiality degree";"Biodiversity"
609;"Artificiality degree";"Sense of belonging"
610;"Artificiality degree";"Mountain agriculture use"
611;"Artificiality degree";"Extensive livestock use"
612;"Artificiality degree";"Hunting"
613;"Artificiality degree";"Cultural services"
614;"Political and management will";"Application of progressive socio-forestry policy"
615;"Forest planning execution";"Participated and democratic decision-making processes"
616;"Forest planning execution";"Stagnation"
617;"Forest planning execution";"Stand stability"
618;"Economic benefit";"Thinning"
619;"Economic benefit";"Public & Private investment"
620;"Pines recruitment & regeneration";"Structural diversity"
621;"Pines recruitment & regeneration";"Resistance"
622;"Pines recruitment & regeneration";"Ecosystem health"
623;"Resistance";"Ecosystem health"
624;"Main species substitution";"Tourism"
625;"Main species substitution";"Mycological use"
626;"Main species substitution";"Extensive livestock use"
627;"Main species substitution";"Ecosystem health"
628;"Aromatic plants & Melliferous use";"Social profitability & sustainability"
629;"Aromatic plants & Melliferous use";"Ecosystem services intensity"
630;"Ecosystem services intensity";"Social unrest"
631;"Ecosystem services intensity";"Landscape & Tourism attraction"
632;"Fire prevention quality";"Brush-cutting"
633;"Vulnerability against perturbations";"Carbon sequestration in long term"
